number,title,category,dept,question,answer,comment
432,성적5.3등급,입시 상담,항공운항과,합격어려울까요 인터넷에서 3~4등급대만 합격할수있다고 해서요,"낮은 하위 두 학과는 가능성이 있어보입니다.
항공기계과 5.3등급이면 안녕히가십시오.","[질문자]항운으로 가고 싶어요!;[답변자]항공운항과는 5.3등급도 합격합니다.
다만 영어가 필수겠죠.
결론적으로 면접만 잘보면 됩니다."
433,인하공전 정시 질문,입시 상담,전체,문과인데 9모 36711 항공기계 ㄱㄴ?,국어탐구탐구 넣고 오면 되는데 수학 그정도면 못따라 갑니다~,None
433,인하공전 정시 질문,입시 상담,전체,문과인데 9모 36711 항공기계 ㄱㄴ?,3 6 7 1 1이면  안녕히가세요 ~,None
433,인하공전 정시 질문,입시 상담,전체,문과인데 9모 36711 항공기계 ㄱㄴ?,나형 6등급에 사탐이면 오시면 다른분들의 디딤돌이 됩니다 강력추천합니다,None
433,인하공전 정시 질문,입시 상담,전체,문과인데 9모 36711 항공기계 ㄱㄴ?,와도 수학때문에 따라가는데 시간이 많이 필요할꺼 같네요,None
433,인하공전 정시 질문,입시 상담,전체,문과인데 9모 36711 항공기계 ㄱㄴ?,합격해도 못따라올 거 같아요 안녕히가세요오,None
433,인하공전 정시 질문,입시 상담,전체,문과인데 9모 36711 항공기계 ㄱㄴ?,수석입니다. ㅅㅇㅅㅇㅅㅇㅅㅇㅅㅇㅅㅇㅅㅇㅅㅇㅅㅇ,None
433,인하공전 정시 질문,입시 상담,전체,문과인데 9모 36711 항공기계 ㄱㄴ?,"항공기계공학과는 무리고
조선기계공학과 추천 드릴게요",None
434,인하공전 조선기계과 추합가능성이 어느정도 될까요?,입시 상담,조선해양과,정시준비해서 수시 안쓸려고 하다가 전문대 한번 써볼려고 하는데 내신5.9에 출결이상없으면 추합 가능성 어느정도 되나요? 조선기계과가 22년 최저6.4로 알고있어요,나는 4.1로 들어왔는데… 답없다 다른데 가셈,[질문자]왜요?;[답변자]조선쪽에 관심이 있다거나 나중에 취업도 조선업계로 취업하고 싶다면 오는건 나쁘지 않아요.;[질문자]조선업계는 대기업 생산직 취업이 힘든가요?;[답변자]갈 수 있더라도 보통 조선쪽으로 취직을 할려면 울산같은 외곽지역으로 취직을 해야하기 때문에 대기업이라고 할지라도 기피하는 편이에요. 조선기계공학과 학과사이트 들어가셔서 취업현황보시고 한번 잘 생각해보시는게 좋을거에요. 물론 이제는 과 이름이 기존의 조선해양과에서 조선기계공학과로 바뀌어서 취업 루트가 다양해져서 꼭 조선 쪽이 아니더라도 기계 쪽으로도 가능해졌습니다.;[질문자]형님 대기업 생산직 학생부본다고 들었는데 저 무단겱과2개에 내신 씹창났는데 가망없겠죠?;[답변자]대학와서 하시는거에 따라 달라질거라고 봅니다.
435,일반고 내신 5.28,입시 상담,기계과,일반고 내신 성적산출하면 5.28나오는데 기계공학과는 못가겠죠?,네 못갑니당 .. 그 내신으로는 힘들거같습니당,None
435,일반고 내신 5.28,입시 상담,기계과,일반고 내신 성적산출하면 5.28나오는데 기계공학과는 못가겠죠?,추합 많이 돌아야 될거 같습니다. 가고 싶으시면 넣어보시는 것도 좋을거 같지만 확률이 높다고는 못하겠네요.,None
436,남녀성비,입시 상담,컴퓨터시스템과,컴퓨터 시스템과 남.녀 성비가 궁금해용!!,반마다 다른데 7:3 ~ 6:4 정도로 보면 될 거 같아요~ 적은쪽이 여자입니다,None
437,휴학하고 승무원가능한가요?,입시 상담,항공운항과,안녕하세요 저는 거진 12년동안 승무원을 하고싶어했는데요ㅋㅋ… 수명이 긴 직업이 아니다보니 현실적으로 간호사라는 직업을 택하게 됐어요 하지만 마음 한켠엔 승무원이 남아있거든요!!… 간호학과에 진학해서 휴학후에 승무원 준비를 해도 뽑힐 가능성이 있나요? 승무원은 대졸자만 뽑나요??,"대졸자만 뽑습니다 졸업 하고 준비하시는게 좋을 거 같아요 학교,학과 무관이에요",None
438,남녀성비,입시 상담,관광경영과,궁금해요!,거의 반반인거 같아요! 일단 저희 반만 보면 성비는 반반이에요,None
438,남녀성비,입시 상담,관광경영과,궁금해요!,공대는 대부분 남초 서비스는 여자 많음,None
439,인하공전 내신,입시 상담,항공운항과,면접 열심히 준비하고 있는데 내신 6.2둥급 가망 없을까요 ? ㅠㅠ,아예 없진 않죠 저도 그쯤인데 뽑혔어요 근데 와보니까 다 저만할줄 알았는데 생각보단 다들 공부 열심히 했더라구요 잘하는건 아니어도,[질문자]감사합니다 ㅠㅠ
440,자동차과와 항공기계과,입시 상담,전체,복수지원 가능한가요?,1차에 항기 쓰고 2차에 자동차 쓰셔요,None
441,외항사 승무원,입시 상담,항공경영과,"외항사 혹은 국내승무원도 될 수 있을까요..?? 
어문계열학과가 유리하다는 건 알지만 저와 안 맞고 어학이 뛰어난 편이 아니라 학점도 망칠 것 같아서 제가 공부하고 싶은 분야학과에서 자격증 취득하고 항공사 지상직원이든 승무원이든 항공계열로 갈 예정입니다ㅠㅠ

외항사 승무원으로도 취업하신 선배님들이 계신가용..?",네 있습니다.어딜가든 자기 능력치에 따라 가능한거 같아요.영어를 자연스럽게 구사하는 친구였어요!,None
441,외항사 승무원,입시 상담,항공경영과,"외항사 혹은 국내승무원도 될 수 있을까요..?? 
어문계열학과가 유리하다는 건 알지만 저와 안 맞고 어학이 뛰어난 편이 아니라 학점도 망칠 것 같아서 제가 공부하고 싶은 분야학과에서 자격증 취득하고 항공사 지상직원이든 승무원이든 항공계열로 갈 예정입니다ㅠㅠ

외항사 승무원으로도 취업하신 선배님들이 계신가용..?","정말 소수 ..ㅎㅎ....
자기 하기 나름이에요",None
442,"인하공전 과제,팀플 시험난이도, 학교에서 공부시키는 정도",입시 상담,컴퓨터정보공학과,"2학년 마치고 편입 준비하려 합니다.

내신은 3점 초반인데 4년제 다니는 것보다 전문대 다니다가 편입하는게 낫지 않을까 싶어서요.

인하공전은 과제나 팀플 시험난이도, 학교에서 공부시키는 정도 등이 어떤가요?
재학생분들의 평가를 듣고 싶습니다.",지옥입니다.. 도망치세요… 여기 그런사람들 많습니다 과마다 분위기 너무 달라요,[질문자]명지전문이랑 고민 중인데 편입하려면 어디가 더 나을까요? 공부 빡새게 시키나요?
443,면접,입시 상담,관광경영과,요번에 지원하게 되었는데 키가 153인데 괜찮을까요..? 아 그리고 내신은 6.1입니다 내신은 괜찮나요?,"제 주변에도 150대 친구들 꽤 있어요! 
내신은 정말 낮아도 면접만 잘 보면 괜찮으니 
꼭 면접 잘 보시길 바랄게요",None
444,과잠,대학 생활,실내건축학과,과잠 있나요??,"아마 과에서 투표해서 과잠할까말까 결정하는데 
대부분 안합니다. 입고다니는 사람도 극극극 소수이구요",None
445,몇가지 질문이요!!,전공/진로,실내건축학과,"1. 교수님들 어떤신가요??
2. 과제가 많다고 하던데 정말인가요?
3. 게이밍 노트북을 구매할 생각인데 지금 실내건축 다니시는 선배님들은 노트북 뭐 쓰시나요??
4. 취업 잘 되나요?
5. 건물 안에 엘레베이터 있나요??
6. mt 있나요?","1. 교수님에 따라 다릅니다
2. 과제가 많은 수준이 아니라 시험기간이 아닌데도 잠을 못잡니다 다른 과에 비해서 월등히 많아요
3. 게이밍 노트북 씁니다 
4. 취업은 되는 것 같은데 계속 버티는 사람은 많이 없다고 들었습니다
5. 바로 옆 건물에 엘베 있는데 우리 과 건물이랑 이어져있습니다
6. 제가 신입생 때는 코로나로 엠티 안 했는데 지금은 모르겠습니다",None
446,취업,입시 상담,항공운항과,재학생 중 몇퍼센트 정도 특채로 채용 되나용..??,특채라니요 그런거 없습니다 4년제 전문대학생들과 공채로 경쟁해서 들어갑니다,None
447,문돌이 메카트로닉스 vs 정보통신 vs 재료공학과,입시 상담,전체,어디가 좋을까요,타 과는 모르겠는데 정보는 별로예요ㅜㅜ,None
447,문돌이 메카트로닉스 vs 정보통신 vs 재료공학과,입시 상담,전체,어디가 좋을까요,"취업하고싶으면 메카가 그래도 그나마 나을거 같네요,,,",None
447,문돌이 메카트로닉스 vs 정보통신 vs 재료공학과,입시 상담,전체,어디가 좋을까요,2년제라 전화기빼면 갈때가 없어요...,None
447,문돌이 메카트로닉스 vs 정보통신 vs 재료공학과,입시 상담,전체,어디가 좋을까요,"메카도 추천은 안하지만 저중에서 가라면 메카감 
단점인 3년제인게 너무큼",None
448,수시 두학기 합 4.4 면 메카트로닉스랑 전화기 쪽 붙을 수 있을까요?,입시 상담,전체,다른 대학교 졸업하고 재입학하는거라 수학쪽 다 까먹었고 문과였는데 붙는다 한들 가서 따라갈 수 있을까요?,무조건 붙어요 전기랑 기계는 미적분이랑 벡터 한번씩 보시고 오셔야 따라오시기 편할꺼예요,None
448,수시 두학기 합 4.4 면 메카트로닉스랑 전화기 쪽 붙을 수 있을까요?,입시 상담,전체,다른 대학교 졸업하고 재입학하는거라 수학쪽 다 까먹었고 문과였는데 붙는다 한들 가서 따라갈 수 있을까요?,"메카는되어도 전기화공은 안될거같은데,,,,
공부는 본인 노력이구 두학기합4.4면 메카기계는 가능할거같고 작년입결보니 전기화공은 힘들거같습니다",None
449,항공과 면접 팁 부탁드립니다,공부 방법,항공운항과,"수시 접수기간 중에 인하공전을 추천 받아서 접수했는데 100% 면접이네요
지난 5년간 목표는 승무원이긴 했습니다만
제가 면접은 왠만큼 기본적으로 하지만 항공과 관련해 준비를 해본 적 없어서 걱정이에요
재정 형편도 급히 학원을 다니기 부담이 있어서요

외워 두면 좋은 것...... 면접 준비 방법....... 면접 시 행동요령.........
경험들을 듣고 싶어요.","잘 웃고, 눈 잘 마주치고, 상냥하되 정확한 목소리로 내 경험을 잘 설명하세요. 항공과는 배우러 오는곳이지 완성된 사람만 뽑는건 아니랍니다.",None
450,화학생명공학과,입시 상담,화공환경과,전에는 절대평가라고 하던데 지금은 상대평가인가요?? 상대평가면 학점 따기 더 어려워지겠죠...?,대면수업이라 상대평가고 당연히 절대평가보다 학점따기 어려워요,None
451,원서 사진,전공/진로,전체,"전문대는 4년제랑 다르게 원서 접수할때 사진을 붙이는 곳이
없나요?",전 사진첨부 안 했던걸로 기억합니다 !,[질문자]감사해요
452,항운 아웃풋,전공/진로,항공운항과,"유명 항공사 많이 가나요? 몇 퍼센트 정도 가나요
그리고 승무원 말고 다른분야로 취직하면 어딜 많이 가죵 ??",옷장사해요 성의성의성의성의성의성의성의,None
452,항운 아웃풋,전공/진로,항공운항과,"유명 항공사 많이 가나요? 몇 퍼센트 정도 가나요
그리고 승무원 말고 다른분야로 취직하면 어딜 많이 가죵 ??",200명중 40명만 승무원 된다는 얘기 들은적 있어요~,None
452,항운 아웃풋,전공/진로,항공운항과,"유명 항공사 많이 가나요? 몇 퍼센트 정도 가나요
그리고 승무원 말고 다른분야로 취직하면 어딜 많이 가죵 ??",그래도 코시국에 이만한 대학교 없어요ㅋ,None
452,항운 아웃풋,전공/진로,항공운항과,"유명 항공사 많이 가나요? 몇 퍼센트 정도 가나요
그리고 승무원 말고 다른분야로 취직하면 어딜 많이 가죵 ??",인플루언서 하면서 협찬이랑 광고 받으면 됩니당 ~,None
453,내신 6.12,입시 상담,항공운항과,많이 힘들까요.. 붙는 경우는 정말 예쁘신데 면접 잘 보신 경우인가요?,내신6은 어느과에 지원해도 힘든 성적입니다,None
453,내신 6.12,입시 상담,항공운항과,많이 힘들까요.. 붙는 경우는 정말 예쁘신데 면접 잘 보신 경우인가요?,낮아도 5... 6점대면 힘들다 봐야죠,None
453,내신 6.12,입시 상담,항공운항과,많이 힘들까요.. 붙는 경우는 정말 예쁘신데 면접 잘 보신 경우인가요?,내신 6은 힘들죠 ㅜㅜ 이름있는 인하공전항운과인데..,None
454,컴퓨터 시스템과랑 컴퓨터 정보과랑 정확히 어떤 차이가 있을까요?,입시 상담,컴퓨터시스템과,"커리큘럼을 봤는데도... 컴퓨터 시스템은 언어 위주+하드웨어로, 정보과는 실습 위주로 배우는 느낌을 받았는데 실제로도 그런가요? 개인적으로 컴언어랑 프로그래밍 쪽에 관심이 높은데 원서 접수에 고민이 되네용 .. . .. 또 취업에서는 어느 쪽이 더 유리할까요...?","컴정가세요
컴시 어차피 하드웨어로 취업 안하고 코딩으로만 취업해요",None
454,컴퓨터 시스템과랑 컴퓨터 정보과랑 정확히 어떤 차이가 있을까요?,입시 상담,컴퓨터시스템과,"커리큘럼을 봤는데도... 컴퓨터 시스템은 언어 위주+하드웨어로, 정보과는 실습 위주로 배우는 느낌을 받았는데 실제로도 그런가요? 개인적으로 컴언어랑 프로그래밍 쪽에 관심이 높은데 원서 접수에 고민이 되네용 .. . .. 또 취업에서는 어느 쪽이 더 유리할까요...?","컴시는 다양한 언어를 바탕으로 프로젝트를 진행하여 프로그래밍 실력을 높일 수 있습니다. 실제로 제가 지금 그렇게 공부하고 있고요 두 과 모두 프로그래밍 언어를 많이 접하고 그에 대한 프로젝트를 한다는 점은 같지만, 컴시는 하드웨어를 같이 배움으로써 본인이 개발한 프로그램이 어떻게 돌아가는지 직접 배우고 활용할 수 있습니다. 그에 대한 프로젝트도 진행하니 다양한 경험을 쌓을 수 있고요. 현재 취업은 컴시가 더 유리한 것으로 알고 있습니다 원서 접수에 도움이 되셨길 바래요",None
454,컴퓨터 시스템과랑 컴퓨터 정보과랑 정확히 어떤 차이가 있을까요?,입시 상담,컴퓨터시스템과,"커리큘럼을 봤는데도... 컴퓨터 시스템은 언어 위주+하드웨어로, 정보과는 실습 위주로 배우는 느낌을 받았는데 실제로도 그런가요? 개인적으로 컴언어랑 프로그래밍 쪽에 관심이 높은데 원서 접수에 고민이 되네용 .. . .. 또 취업에서는 어느 쪽이 더 유리할까요...?","컴시는 커리큘럼대로 하드웨어 + 소프트웨어 둘 다 배웁니다. IoT처럼 하드웨어적인 지식과 이를 다룰 low-level단 프로그래밍언어도 수업하고요, 그렇다고 소프트웨어적인 지식을 못 채우진 않습니다. 언어도 파이썬 C C++ C# 자바 안드로이드 프로그래밍을 2학년 1학기까지 학기별로 나눠서 배우고 외에도 html+css등 맛보기 느낌으로 하긴 다 합니다. 반대로는 하나에 깊게 빠지진 못하니 단점으로 작용할 수도 있겠죠. 따라서 다양하게 배우는 편이기에 학생분 의지와 진로를 잘 잡는게 중요합니다. 3학년 땐 머신러닝과 같은 AI도 배우고 스프링같은 백엔드언어도 합니다. 요즘은 학과에서 AI 밀어주는 느낌인거 같네요.",None
455,화학생명공학과 vs 항공기계공학과,입시 상담,항공기계공학과,"제 내신이 3.59인데 작년 입결을 보니 화생공은 평균이 3.4이고 최저가 4.3 , 항공기계공학은 평균이 3.1 , 최저가 3.7이던데 어디를 넣는게 좋을까요??ㅜㅜ 제가 딱히 과목 선호도가 없어서,, 둘 중에 굳이 고르자면 화생공이긴한데 항공기계쪽도 상관이 없거든요,, 그리고 항공기계가 유명한 것 같아서ㅠㅠㅠ 근데 또 내신이 아슬아슬한지라,, 어느쪽이 취업이 더 잘되나요? 학과 분위기나 배우는게 어느 학과가 나은가요?? 여러분들이 둘 중 하나의 과를 간다면 어떤 쪽이 이득일 것 같은지 이유랑 같이 알려주세요ㅜㅜㅜ","항기 1학년인데 저희과는 주로 항공사로 진로정하고 다른 대기업 기계쪽으로도 가긴합니다. 커리는기계를 배우긴하는데 주로 항공기 특화라 보심되구요..저희 항공기계 유명하긴한데 19년 이후부터는 코로나때문에 항공사 채용이 잘 안되고있고 올해 말정도부터 다시 열린다고 합니다.(교수님 피셜) 

화공은 저희랑 배우는분야는 많이 다르고 삼성바이오나 다른 대기업쪽도 취업 잘된다고 들었어요.  

선호도가 화공쪽이 더 끌리시면 화공가시는게 좋아보입니다.",[답변자]학과 분위기는 어느정도 다들 열심히 하자!주의고 면학분위기는 괜찮은편입니다
455,화학생명공학과 vs 항공기계공학과,입시 상담,항공기계공학과,"제 내신이 3.59인데 작년 입결을 보니 화생공은 평균이 3.4이고 최저가 4.3 , 항공기계공학은 평균이 3.1 , 최저가 3.7이던데 어디를 넣는게 좋을까요??ㅜㅜ 제가 딱히 과목 선호도가 없어서,, 둘 중에 굳이 고르자면 화생공이긴한데 항공기계쪽도 상관이 없거든요,, 그리고 항공기계가 유명한 것 같아서ㅠㅠㅠ 근데 또 내신이 아슬아슬한지라,, 어느쪽이 취업이 더 잘되나요? 학과 분위기나 배우는게 어느 학과가 나은가요?? 여러분들이 둘 중 하나의 과를 간다면 어떤 쪽이 이득일 것 같은지 이유랑 같이 알려주세요ㅜㅜㅜ","항공기 쪽에 관심없으면 항기오지마세요. 분명 후회합니다
취업은 본인이 학점이랑 자격증만 잘 따면 어느과를 가던 취업합니다.",None
455,화학생명공학과 vs 항공기계공학과,입시 상담,항공기계공학과,"제 내신이 3.59인데 작년 입결을 보니 화생공은 평균이 3.4이고 최저가 4.3 , 항공기계공학은 평균이 3.1 , 최저가 3.7이던데 어디를 넣는게 좋을까요??ㅜㅜ 제가 딱히 과목 선호도가 없어서,, 둘 중에 굳이 고르자면 화생공이긴한데 항공기계쪽도 상관이 없거든요,, 그리고 항공기계가 유명한 것 같아서ㅠㅠㅠ 근데 또 내신이 아슬아슬한지라,, 어느쪽이 취업이 더 잘되나요? 학과 분위기나 배우는게 어느 학과가 나은가요?? 여러분들이 둘 중 하나의 과를 간다면 어떤 쪽이 이득일 것 같은지 이유랑 같이 알려주세요ㅜㅜㅜ","항기 말고 화공 추천합니다 
내가 항공정비사 안 하면 죽겠다 아니면 차라리 그냥 기계과 추천",None
456,정보통신공학과,대학 생활,정보통신과,"학점 따기 어려운 지 4년제 인하대 등등으로 편입 어려운지 질문드립니다..
수도권 하위 4년제 혹은 서울에 있는 대학 캠퍼스들 붙을 경우 4년제로 가는 게 더 나을까요? 조언 부탁드릴게요 ㅠㅠ!","1. 학점따기는 쉬운데 다른 전문대에 비해서 학생들이 열심히 하는편입니다 
2. 편입은 본인 하기 나름이라.. 편입시험 공부만 잘 하면 되지않을까요 
3. 4년제가 낫습니다",None
456,정보통신공학과,대학 생활,정보통신과,"학점 따기 어려운 지 4년제 인하대 등등으로 편입 어려운지 질문드립니다..
수도권 하위 4년제 혹은 서울에 있는 대학 캠퍼스들 붙을 경우 4년제로 가는 게 더 나을까요? 조언 부탁드릴게요 ㅠㅠ!","무조건 4년제가 좋아요.
저는 이번에 다시 원서써서 4년제 가려고해요.
자격증 응시조건부터 시작해서 취업까지 거의 모든 부분에서 4년제가 유리해요.",None
456,정보통신공학과,대학 생활,정보통신과,"학점 따기 어려운 지 4년제 인하대 등등으로 편입 어려운지 질문드립니다..
수도권 하위 4년제 혹은 서울에 있는 대학 캠퍼스들 붙을 경우 4년제로 가는 게 더 나을까요? 조언 부탁드릴게요 ㅠㅠ!",학점 따기 쉬운데 4년제 붙으면 제발 4년제로 가세요....인공만 그런건지는 모르겠지만 겉핥기식으로 배우는 느낌이라 비추에오,None
457,정보통신공학과 성비,대학 생활,정보통신과,궁금합니다,"대충 남자가 훨 많아요.
대충 8ㄷ2?",None
458,면접 질문,입시 상담,비서과,"인하공전 비서학과 면접 준비중인 학생입니당😊
기출 문제 모아서 많이  연습해 놓았는데요!
혹시나 준비 안 했던 질문을 받는다면 생각할 때 잠깐 위를 보는 것도 마이너스가 될까요?",네... 면접 보는데 갑자기 위를 본다면 당연히 누구나 당황하지 않을까요...? 집중력이 없어 보이기도 해요. 정 답변하기 어렵다면 면접관분들 눈을 마주치면서 미소지으면서 빨리 답변을 생각하는게 좋지 않을까요...?,None
458,면접 질문,입시 상담,비서과,"인하공전 비서학과 면접 준비중인 학생입니당😊
기출 문제 모아서 많이  연습해 놓았는데요!
혹시나 준비 안 했던 질문을 받는다면 생각할 때 잠깐 위를 보는 것도 마이너스가 될까요?",떨리는 자리임을 면접관 님들도 알고 계셔서 많이 이해해주십니다. 당황하지 말고 면접관 님들의 눈을 마주치고 웃으며 떠올려 보세요. 천천히 답변 해도 당당함만 있다면 전혀 마이너스가 되지 않아요 :),None
458,면접 질문,입시 상담,비서과,"인하공전 비서학과 면접 준비중인 학생입니당😊
기출 문제 모아서 많이  연습해 놓았는데요!
혹시나 준비 안 했던 질문을 받는다면 생각할 때 잠깐 위를 보는 것도 마이너스가 될까요?","답변을 생각할 때 위를 보기 보다는, 면접관님의 눈을 맞추며 옅은 미소로 빠르게 키워드만 생각해서 답변하는 것이 더 도움이 될 거에요~

떨리는 자리고, 누구보다 간절함을 면접관 분들도 잘 알고 계시기 때문에 그런 부분은 충분히 시간 갖고 기다려주십니다 😁",None
459,인하공전식 내신 4.37 전기과 붙을까요?,입시 상담,전기정보과,인문계입니다 가능성 있을까요..?,조금 힘들거라고 생각합니다 추합으로는 가능성이 조금 있긴하네요,None
459,인하공전식 내신 4.37 전기과 붙을까요?,입시 상담,전기정보과,인문계입니다 가능성 있을까요..?,작년에 내신 3.8로 추합 10번 받았습니다,None
459,인하공전식 내신 4.37 전기과 붙을까요?,입시 상담,전기정보과,인문계입니다 가능성 있을까요..?,힘들거 같습니다 작년 3.5로 추합7 받았습니다,None
460,항공운항과 가고 싶어요!,입시 상담,항공운항과,"안녕하세요 ~! 인하공전 항공운항과 준비 중인 현 고3 입니다!  일반고 내신은 123학년 통틀어서 6.6정도 입니다
턱 없이 부족한 내신이지만 면접 비율이 높은 점 때문에 담임선생님께서 지원 해보라고 하셔서 질문 드립니다!

1. 한번도 승무원 학원을 다닌 적이 없는데 꼭 필요한가요? ( 면접 부분에서 비교가 많이 될까요? ) 
2. 169 에 52정도면 괜찮나요?
3. 2년째 단발머리인데 면접 때 어피를 하고 가야할까요?
4. 인공 항공운항과 만의 메리트를 알려주세요!","내신 진짜 너무 힘들것 같아요....
대신 면접 준비 빡세게 하시면 가능성 있을거에요!
어피 무조건 하세요.",None
460,항공운항과 가고 싶어요!,입시 상담,항공운항과,"안녕하세요 ~! 인하공전 항공운항과 준비 중인 현 고3 입니다!  일반고 내신은 123학년 통틀어서 6.6정도 입니다
턱 없이 부족한 내신이지만 면접 비율이 높은 점 때문에 담임선생님께서 지원 해보라고 하셔서 질문 드립니다!

1. 한번도 승무원 학원을 다닌 적이 없는데 꼭 필요한가요? ( 면접 부분에서 비교가 많이 될까요? ) 
2. 169 에 52정도면 괜찮나요?
3. 2년째 단발머리인데 면접 때 어피를 하고 가야할까요?
4. 인공 항공운항과 만의 메리트를 알려주세요!","승무원학원 안다녀도 돼요
단발인 분들은 가채를 한다고 하더라구요? 
내신이 6은 좀 .... 면접을 정말 잘 보지않는 이상 힘들지 않을까요",None
461,인하공전식 내신 4.1 나오는데 전기 가능성 있을까요?,입시 상담,전기정보과,인문계 고등학교 입니다 가능한가요?,"무조건 붙음 
ㅅㅇㅅㅇㅅㅇㅅㅇㅅㅇㅅㅇ",None
462,특성화고 내신 2.9 지원,입시 상담,전기정보과,"특성화고 전형으로 최우수 2학기 해서 2.9 나오는데
작년 커트라인이 2.5더라구요 상향지원인데 넣는데 맞을까요? 아님 전자는 3.2인데 전자로 트는게 맞을까요...
전기/전자관련과라 둘다 가능하긴 해요",None,None
463,항공경영/관광경영/호텔경영/비서과,입시 상담,전체,"제 꿈이 공항 지상직원인데 어디로 가야지 더 괜찮을까요..??또 학교에서 어느 학과를 더 밀어주시나요ㅠㅠ
항공경영학과가 다른 학과와 비슷하게 지상직으로 보낸다고 들어서요ㅠㅠ고민중입니다..","내신 높으시면 그냥 인서울 4년제 어문 가세요
여기서 지상직 가려면 엄청나게 노력해야되요.",[질문자]인서울 4년제를 못 가서.. 쓰는겁니다..
463,항공경영/관광경영/호텔경영/비서과,입시 상담,전체,"제 꿈이 공항 지상직원인데 어디로 가야지 더 괜찮을까요..??또 학교에서 어느 학과를 더 밀어주시나요ㅠㅠ
항공경영학과가 다른 학과와 비슷하게 지상직으로 보낸다고 들어서요ㅠㅠ고민중입니다..","지상직은 항경이 더 가까워요. 관경이랑 호경은 모르겠는데 꿈이 지상직인거랑 학교에서 밀어주는거랑은 무슨 상관인가요?? 학교에서 밀어주고 있는 학과를 가고 싶은건지, 지상직을 원하시는건지 잘 모르겠네요. 밀어주고 있는 서비스계열 학과는 인원, 인기가 제일 많은 항운이고 학교 특성 상 공과 위주에요.",None
463,항공경영/관광경영/호텔경영/비서과,입시 상담,전체,"제 꿈이 공항 지상직원인데 어디로 가야지 더 괜찮을까요..??또 학교에서 어느 학과를 더 밀어주시나요ㅠㅠ
항공경영학과가 다른 학과와 비슷하게 지상직으로 보낸다고 들어서요ㅠㅠ고민중입니다..","학교에서 밀어주는 서비스과는 항공운항과 라고 생각해요 
항공운항과는 객실 승무원 ,항공 경영과는 지상직 승무원 양성을 목표로 하는 과입니다 즉 지상직 승무원이 꿈이라면 항공경영과가 적합하겠지만 윗분 말씀처럼 내신이 괜찮으시다면 4년제 어문계열 가시는게 여러므로 유리하실거에요","[질문자]지방 부실대여도 4년제 어문쪽이 괜찮을까요ㅠㅠ🥺;[답변자]저같은 경우에도 지방 4년제 어문 붙고 인하공전 붙어서 인하공전 온 케이스입니다 저는 네임 없는 지방대보다 이름 있는 전문대가 더 낫다고 생각했고 편입의 기회도 있다는 점에서 선택에 후회하지 않아요 꿈이 확고하게 지상직 승무원이라면 인하공전 지원하는게 더 좋아보이지만 항공경영과도 성적컷트가 낮은건 아니기 때문에 작년 ,제작년 입결 살펴보는게 좋을거같아요☺️;[답변자]항공경영-지상직 승무원
항공운항-객실 승무원
호텔경영-호텔 프론트 ,F&B,사무직
관광경영-여행사 ,항공사 ,호텔 ,사무직
비서-비서
참고하시면 좋을거같네요!"
464,인공 가고싶은 고2입니다,기타,항공운항과,"승무원에 관심이 생기고 꿈으로 정착하고 이번 여름방학때부터 승무원입시 학원 다니기 시작했어요 
학원 원장님 말씀으로 제 등급으로 2년제 다 지원 가능하다고 말씀하셨어요 
제가 1학년때부터 지금까지 평균 6등급 나왔는데 너무 부끄러운 점수 같더라구요 작년 입시결과를 보는데 평균 3,4 점 대라 전 올려야 한다는 마음에 열심히 해봤지만 결과는 6등급 나오더라구요.. 항공운항과 준비하셨던 언니들 고등학교때 어떻게 공부했는지 공부방법과 면접 준비했는지 알려주세요(도와주세요ㅠㅠㅠ) 
 그리고 6등급대도 합격하고 그러는지 궁금해요 
또 제가 무쌍이고 키도 163정도의 큰 키가 아니지만 되게 많이 웃어요 잘 웃기도 하고요 과연 제가 내년에 면접 보러갔을때 플러스 점수가 될수 있을까요..?","지금부터 충분히 공부하셔서 남은 학기 매워 보아용
무쌍이 단점이 될 것 같다면 쌍커풀을 만들어 보시는것도 괜찮을것 같아요! 저도 쌍테 붙이고 살아요!ㅎㅎ",None
465,삼육대 항공관광 vs 인하공전 항공과,전공/진로,비서과,둘다 붙는다면 어디로 가는게 좋은가요? 꿈은 승무원입니다,내신 충분히 되시면 차라리 인서울 4년제 어문 추천드려요. 실제 승무원 되신 분들중 항공과 출신 많이 없어요,None
466,배화여대 비서과,입시 상담,비서과,"작년 입결 보니까 평균이 5중반이던데 5.1인데 1차 합격 할 수 있을까요?
면접은 안 보는거죠??
답변 주시면 감사하겠습니다ㅜㅜ",여긴 인하공전 입니당~~~~~~~~~~!~!~!~!!~!!~!!~~~~~,None
466,배화여대 비서과,입시 상담,비서과,"작년 입결 보니까 평균이 5중반이던데 5.1인데 1차 합격 할 수 있을까요?
면접은 안 보는거죠??
답변 주시면 감사하겠습니다ㅜㅜ","인하공전 이에용ㅇㅇ
면접 당연히 봅니다 0.0",None
467,분위기 괜찮나요...?,대학 생활,호텔경영과,"군기 잡는다는 얘기도있고 안좋은 얘기가 되게 많아서요,,;",전문대라 그런거 없어요 다들 1학년땐 적응하기 바쁘고 2학년땐 취업 준비 하기 바쁩니다,None
467,분위기 괜찮나요...?,대학 생활,호텔경영과,"군기 잡는다는 얘기도있고 안좋은 얘기가 되게 많아서요,,;",군기같은거 1도 없고 안좋은 얘기 뭔지 모르겠지만 안좋은거 없어요,None
